"","Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type"
"117","Peyres Nobles Rouge 2018","France","Corbières","Château Camplong",4,103,6.5,"2018","Red"
"118","Lemartine Toscana 2015","Italy","Toscana","Poggio Antico",4.1,103,29.67,"2015","Red"
"119","Organic Cabernet 2018","Australia","South Australia","Farm Hand",3.7,103,7.79,"2018","Red"
"120","Pomerol 1999","France","Pomerol","Château Nénin",4.1,103,240,"1999","Red"
"121","Malterdinger Alte Reben Spätburgunder 2016","Germany","Baden","Bernhard Huber",4.1,103,38.69,"2016","Red"
"122","Cabernet Franc 2012","South Africa","Franschhoek","Anthonij Rupert",4.2,103,59.95,"2012","Red"
"123","Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002","France","Saint-Émilion Grand Cru","Château Valandraud",4.4,103,193.02,"2002","Red"
"124","Bramare Rebon Vineyard Malbec 2017","Argentina","Mendoza","Viña Cobos",4.6,103,75.07,"2017","Red"
"125","Merlot Reserva 2008","Brazil","Vale dos Vinhedos","Pizzato",3.2,103,15.9,"2008","Red"
"126","Brunello di Montalcino Pianrosso 2015","Italy","Brunello di Montalcino","Ciacci Piccolomini d'Aragona",4.4,103,66.29,"2015","Red"
"127","François de Tournon Saint-Joseph 2016","France","Saint-Joseph","Delas",3.9,103,29.15,"2016","Red"
"128","Estibals Minervois 2018","France","Minervois","L'Ostal Cazes",3.6,103,10.99,"2018","Red"
"129","Barbera - Garnacha 2017","Chile","Maule Valley","Erasmo",3.5,103,12.62,"2017","Red"
"130","Roi des Lézards 2014","France","Côtes Catalanes","Domaine Les Enfants Sauvages",3.9,103,19.4,"2014","Red"
"131","One Point Five Cabernet Sauvignon 2016","United States","Stags Leap District","Shafer",4.5,1030,120.01,"2016","Red"
"132","Barbaresco 2013","Italy","Barbaresco","Gaja",4.4,1030,199.9,"2013","Red"
"133","Saint-Julien (Grand Cru Classé) 2006","France","Saint-Julien","Château Branaire-Ducru",3.9,1030,59.54,"2006","Red"
"134","Médoc 2012","France","Médoc","Château Potensac",3.8,1033,39.69,"2012","Red"
"135","Pieve Santa Restituta Brunello di Montalcino 2014","Italy","Brunello di Montalcino","Gaja",4.3,1035,59.9,"2014","Red"
"136","Gran Maestro Primitivo di Manduria 2017","Italy","Primitivo di Manduria","Maestro Italiano",4.1,1036,9.75,"2017","Red"
"137","Saint-Julien (Grand Cru Classé) 2011","France","Saint-Julien","Château Léoville Barton",4.2,1037,87.24,"2011","Red"
"138","Inferno (Aged in Whiskey Barrels - Limited Release) 2017","United States","California","Apothic",3.8,1037,14.56,"2017","Red"
"139","Pessac-Léognan (Grand Cru Classé de Graves) 2007","France","Pessac-Léognan","Château Pape Clément",4.3,1037,161.1,"2007","Red"
"140","Faithful Hound Red 2015","South Africa","Stellenbosch","Mulderbosch",4,1038,14.9,"2015","Red"
"141","Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012","Italy","Amarone della Valpolicella","Masi",4.3,1039,69,"2012","Red"
"142","Rosso di Montalcino 2018","Italy","Rosso di Montalcino","Talenti",3.7,104,14.43,"2018","Red"
"143","Chianti 2017","Italy","Chianti","Sammontana",3.7,104,8.9,"2017","Red"
"144","Azul 2015","Spain","Ribera del Queiles","Guelbenzu",3.8,104,6.99,"2015","Red"
"145","Sanct Valentin Riserva Pinot Noir 2017","Italy","Südtirol - Alto Adige","St. Michael-Eppan",4.1,104,33.2,"2017","Red"
"146","Mas Collet Barrica 2009","Spain","Montsant","Capçanes",3.5,104,21.91,"2009","Red"
"147","Valpolicella Ripasso Classico Superiore 2016","Italy","Valpolicella Ripasso Classico","Paolo Cottini",4,104,16.9,"2016","Red"
"148","Toscana Poggio Ai Merli 2016","Italy","Toscana","Castellare",4.3,104,69,"2016","Red"
"149","Viña Aljibes Red Blend 2016","Spain","Castilla","Finca Los Aljibes",3.4,104,8.2,"2016","Red"
"150","Châteauneuf-du-Pape (La Crau) 2017","France","Châteauneuf-du-Pape","Domaine du Vieux Télégraphe",4.4,104,79.95,"2017","Red"
"151","Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015","France","Châteauneuf-du-Pape","Pierre Amadieu",4,104,26.23,"2015","Red"
"152","Mencia 2015","Spain","Valdeorras","Viña Costeira",3.2,104,8.28,"2015","Red"
"153","Santenay Clos de Malte 2016","France","Santenay","Louis Jadot",4.1,104,32,"2016","Red"
"154","Sudisfà Roero Riserva 2015","Italy","Roero","Negro Angelo",4.1,104,29.9,"2015","Red"
"155","Léa Les Aspres Côtes du Roussillon Rouge 2012","France","Côtes du Roussillon","Domaine Lafage",4,104,19.95,"2012","Red"
"156","Alleanza 2012","Italy","Toscana","Castello di Gabbiano",4.1,104,26.95,"2012","Red"
"157","Valpolicella Ripasso Classico Superiore Solane 2015","Italy","Valpolicella Ripasso","Santi",3.7,1040,14.75,"2015","Red"
"158","Crianza 2015","Spain","Binissalem-Mallorca","Bodegas José L. Ferrer",3.8,1040,11.95,"2015","Red"
"159","Courela Tinto 2016","Portugal","Alentejano","Cortes de Cima",3.6,1040,5.65,"2016","Red"
"160","Barbera d'Alba Tre Vigne 2015","Italy","Barbera d'Alba","Vietti",3.8,1040,19.5,"2015","Red"
"161","No Name 2014","Italy","Piemonte","Borgogno",4,1041,34.32,"2014","Red"
"162","Rioja Bordón Reserva 2011","Spain","Rioja","Franco-Espanolas",3.8,1045,10.85,"2011","Red"
"163","Pian delle Vigne Brunello di Montalcino 2014","Italy","Brunello di Montalcino","Antinori",4.3,1046,45.6,"2014","Red"
"164","Almiréz 2016","Spain","Toro","Teso La Monja",4,1046,14.95,"2016","Red"
"165","Colheita Seleccionada Rouge 2010","Portugal","Alentejano","Rapariga da Quinta",3.2,1046,11.7,"2010","Red"
"166","Ammasso Rosso Sicilia 2016","Italy","Sicilia","Barone Montalto",4.2,1047,16.34,"2016","Red"
"167","Côtes du Rhône Nature Rouge 2016","France","Côtes-du-Rhône","Famille Perrin",3.6,1049,10.45,"2016","Red"
"168","Russian River Valley Zinfandel 2015","United States","Russian River Valley","DeLoach",3.5,105,18.49,"2015","Red"
"169","Saint-Julien (Grand Cru Classé) 2016","France","Saint-Julien","Château Léoville Las Cases",4.6,105,330.45,"2016","Red"
"170","Halkidiki Limnio - Merlot 2013","Greece","Chalkidiki","Tsantali",3.2,105,12.49,"2013","Red"
"171","Pomerol 2015","France","Pomerol","Château l'Ecuyer",4.2,105,43.16,"2015","Red"
"172","Toar Valpolicella Classico Superiore 2016","Italy","Valpolicella Classico","Masi",3.7,105,15.6,"2016","Red"
"173","Arbòre Cannonau di Sardegna 2012","Italy","Cannonau di Sardegna","Gabbas",4,105,21.9,"2012","Red"
"174","Ángeles de Amaren Tempranillo - Graciano 2015","Spain","Rioja","Bodegas Amaren",4.2,105,15.95,"2015","Red"
"175","Barbera 2018","Italy","Piemonte","Serre dei Roveri",3.3,105,6.15,"2018","Red"
"176","Amarone della Valpolicella 2006","Italy","Amarone della Valpolicella","Zýmē",4.5,105,96.9,"2006","Red"
"177","Castillo de Jumilla Monastrell - Tempranillo 2018","Spain","Jumilla","Bleda",3.5,105,5.33,"2018","Red"
"178","Hommage Lirac 2016","France","Lirac","Domaine Coudoulis",3.9,105,19.01,"2016","Red"
