"Name","Country","Region","Winery","Rating","NumberOfRatings","Price","Year","Type"
"36 Cuvée Brut N.V.","Italy","Colli Trevigiani","Marsuret",3.5,60,9.8,"N.V.","Sparkling"
"Parlein Brut N.V.","Italy","Trentino-Alto Adige","Arunda",3.6,61,22.9,"N.V.","Sparkling"
"Crémant d'Alsace Blanc de Blancs Brut N.V.","France","Crémant d'Alsace","Dopff & Fils",4.2,62,14.21,"N.V.","Sparkling"
"Reyes de Aragón El Monje Brut Nature N.V.","Spain","Cava","Bodegas Langa",3.7,62,11.8,"N.V.","Sparkling"
"Rheingauer Réserve Riesling Brut 2015","Germany","Rheingau","Schloss Vaux",3.9,62,18.5,"2015","Sparkling"
"Cuvée 28+ Rosé N.V.","Italy","Trento","Rotari",3.8,62,12.5,"N.V.","Sparkling"
"Riesling Brut 2017","Germany","Rheingau","Kloster Eberbach",3.6,63,12.6,"2017","Sparkling"
"Cuveé Salome Brut N.V.","Germany","Pfalz","Friedrich Becker",3.8,64,19.49,"N.V.","Sparkling"
"Rosé Brut Champagne Premier Cru N.V.","France","Champagne Premier Cru","Autréau de Champillon",3.6,64,28.5,"N.V.","Sparkling"
"Blanc de Blancs Brut Champagne N.V.","France","Champagne","Jacquinot & Fils",3.7,64,46.95,"N.V.","Sparkling"
"Lady Rosé Champagne N.V.","France","Champagne","Duval-Leroy",3.6,64,51.69,"N.V.","Sparkling"
"Riserva Extra Brut 2012","Italy","Trentino-Alto Adige","Arunda",4.1,64,24.15,"2012","Sparkling"
"Ice Blanc de Blancs Demi-Sec N.V.","Italy","Vino d'Italia","Valdo",3.7,65,8.32,"N.V.","Sparkling"
"Efecte Classic Penedès Brut Reserva 2017","Spain","Penedès","Albet i Noya",3.9,66,15.6,"2017","Sparkling"
"Triumvirat Grande Cuvée Brut 2009","Germany","Rheinhessen","Raumland",4.1,66,42.95,"2009","Sparkling"
"'Giulio Ferrari' Riserva del Fondatore Rosé 2006","Italy","Trentino","Ferrari",4.5,66,239,"2006","Sparkling"
"N.P.U Brut Champagne (Nec Plus Ultra) 2004","France","Champagne","Bruno Paillard",4.4,67,169,"2004","Sparkling"
"Teatro Alla Scala 2013","Italy","Franciacorta","Bellavista",4,67,47.53,"2013","Sparkling"
"Il Vino dei Poeti Gold 2017","Italy","Prosecco","Bottega",3.8,67,19.4,"2017","Sparkling"
"Secco Rosé N.V.","Germany","German Wine","Kloster Eberbach",4,70,9.97,"N.V.","Sparkling"
"Veneto Sciànco Custoza Spumante Brut N.V.","Italy","Veneto","Monte del Frá",3.8,70,10.5,"N.V.","Sparkling"
"Imperial Brut 2015","Spain","Cava","Gramona",4,70,19.99,"2015","Sparkling"
"L'Authentique Brut Champagne 2009","France","Champagne","Tribaut Schloesser",4.2,70,78.95,"2009","Sparkling"
"Bricco Quaglia Moscato d'Asti 2019","Italy","Moscato d'Asti","La Spinetta",4.1,71,15.69,"2019","Sparkling"
"Familiengewächs Frizzante Valentin weiss N.V.","Germany","Franken","Winzer Sommerach",4.2,71,8.05,"N.V.","Sparkling"
"Prosecco Treviso Frizzante N.V.","Italy","Prosecco di Treviso","Le Contesse",4.1,71,6.9,"N.V.","Sparkling"
"Pinot Noir Rosé Brut N.V.","Germany","Rheingau","Barth",3.6,72,16.59,"N.V.","Sparkling"
"Ribula Brut N.V.","Italy","Friuli-Venezia Giulia","Conte d'Attimis Maniago",3.6,73,11.9,"N.V.","Sparkling"
"Initiation N.V.","France","Champagne","Benoît Déhu",4.2,74,54,"N.V.","Sparkling"
"Cuvée Rosa Extra Dry N.V.","Italy","Prosecco","Canevel",4,74,11.99,"N.V.","Sparkling"
"Tre Comuni Valdobbiadene Prosecco Superiore Extra Dry N.V.","Italy","Conegliano-Valdobbiadene Prosecco","Vallis Mareni",3.8,74,8.99,"N.V.","Sparkling"
"Moscato d'Asti 2019","Italy","Moscato d'Asti","Prunotto",3.9,74,11.9,"2019","Sparkling"
"Crémant de Loire Brut Rosé N.V.","France","Crémant de Loire","Chapin & Landais",3.7,75,11.07,"N.V.","Sparkling"
"Tradition Demi-Sec Champagne N.V.","France","Champagne","J.M. Gobillard & Fils",4.1,75,28.95,"N.V.","Sparkling"
"Prosecco Treviso Brut N.V.","Italy","Prosecco di Treviso","Soligo",3.6,75,8.95,"N.V.","Sparkling"
"Cuvée Prestige Millésimé Brut Champagne 2013","France","Champagne","J.M. Gobillard & Fils",4.2,77,33.92,"2013","Sparkling"
"Serral del Vell Brut Nature 2009","Spain","Cava","Recaredo",4.3,77,39.5,"2009","Sparkling"
